shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,GTFSAgencyID,GTFSAgencyName
vt-vasttag,3525,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3527,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3528,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3529,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3531,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3532,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3533,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3535,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3536,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3537,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3540,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3541,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3543,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3544,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3545,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3547,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3548,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3549,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3551,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3552,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3553,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3555,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3556,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3557,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3559,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3561,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3563,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3564,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3565,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3567,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3568,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3569,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3571,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3572,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3573,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3575,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3576,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3577,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3579,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3581,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3583,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3584,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3585,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3588,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3589,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3592,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3593,#101416,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3813,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3815,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3817,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3819,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3822,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3823,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3824,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3825,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3827,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3828,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3830,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3831,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3832,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3833,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3834,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3835,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3836,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3837,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3838,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3839,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3841,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3842,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3843,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3844,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
vt-vasttag,3846,#a54499,#ffffff,,rectangle-rounded-corner,,279,Västtrafik,
