shortOperatorName,lineName,backgroundColor,textColor,borderColor,shape,wikidataQid,delfiAgencyID,delfiAgencyName
### VBN IDs aren't set!!!! ###
hvv-hha,17,#62685f,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,18,#6b80be,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,19,#f4ba4f,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,20,#519bd2,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,23,#e74796,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,24,#f8d258,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,25,#0c653c,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,26,#bcd25d,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,27,#11adde,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,28,#7e9bb4,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,30,#df864a,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,40,#df864a,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,42,#4e955b,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,43,#ca3752,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,603,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,604,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,605,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,606,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,607,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,608,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,617,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,618,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,640,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,641,#000000,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X11,#5fb358,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X22,#5fb358,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X27,#eb452e,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X35,#eb452e,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X40,#73c4a2,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X61,#ed7339,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X65,#52b4dc,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-hha,X86,#ebc353,#ffffff,,hexagon,,15140,Hochbahn Bus
hvv-kvi,X66,#6780bf,#ffffff,,hexagon,,15143,KVIPVH
